DWO ID,Bureau stn_num,DWO name,latitude,longitude
5075,20062,Yunta,-32.5707,139.5645
5076,23842,Mount Lofty,-34.9784,138.7088
5077,18217,Cummins,-34.2524,135.7135
6001,9500,Albany,-35.0289,117.8808
6002,9741,Albany Airport,-34.9414,117.8022
6003,2064,Argyle,-16.6381,128.4517
6004,9037,Badgingarra,-30.3381,115.5394
6005,11045,Balgair,-31.09,125.6589
6006,13007,Balgo Hills,-20.1417,127.9867
6007,11017,Balladonia,-32.4569,123.8653
6008,5094,Barrow Island,-20.875,115.4056
6009,10007,Bencubbin,-30.8081,117.8603
6010,10515,Beverley,-32.1083,116.9247
6011,9240,Bickley,-32.0075,116.1367
6012,3030,Bidyadanga,-18.6844,121.7803
6013,9617,Bridgetown,-33.9486,116.1311
6014,10524,Brookton,-32.3725,117.0072
6015,3003,Broome,-17.9475,122.2353
6016,12239,Bulga Downs,-28.4967,119.7436
6017,9965,Bunbury,-33.3567,115.6447
6018,9569,Busselton,-33.655,115.3194
6019,9603,Busselton Airport,-33.6858,115.4008
6021,9518,Cape Leeuwin,-34.3728,115.1358
6022,9519,Cape Naturaliste,-33.5372,115.0189
6023,8025,Carnamah,-29.6889,115.8869
6024,6011,Carnarvon,-24.8878,113.67
6025,13015,Carnegie,-25.7964,122.9753
6026,200790,Christmas Island,-10.4528,105.6875
6027,200284,Cocos Island,-12.1892,96.8344
6028,9994,Collie,-33.3608,116.1717
6029,10536,Corrigin,-32.3292,117.8733
6030,10286,Cunderdin,-31.6219,117.2217
6031,3080,Curtin RAAF Base,-17.5736,123.8217
6032,3057,Cygnet Bay,-16.4514,123.0086
6033,8297,Dalwallinu,-30.2761,116.6714
6034,6044,Denham,-25.9261,113.5319
6035,3032,Derby,-17.3706,123.6611
6036,9534,Donnybrook,-33.5719,115.8247
6037,1025,Doongan,-15.3797,126.3114
6038,9538,Dwellingup,-32.7103,116.0594
6039,8225,Eneabba,-29.8183,115.2722
6040,9789,Esperance,-33.83,121.8925
6041,9542,Esperance Airport,-33.6825,121.8275
6042,11003,Eucla,-31.6797,128.8792
6043,11019,Eyre,-32.2464,126.3008
6044,3093,Fitzroy Crossing,-18.1814,125.5619
6045,11052,Forrest,-30.8453,128.1092
6046,9256,Garden Island,-32.2433,115.6839
6047,6022,Gascoyne Junction,-25.0544,115.21
6048,8051,Geraldton,-28.7953,114.6975
6049,13017,Giles,-25.0341,128.301
6050,9178,Gingin,-31.4628,115.8642
6051,9106,Gosnells,-32.0486,115.9839
6052,2012,Halls Creek,-18.2292,127.6636
6053,9812,Harvey,-33.0789,115.8806
6054,9961,Hopetoun,-33.9306,120.1283
6055,10568,Hyden,-32.4419,118.8983
6056,9172,Jandakot,-32.1011,115.8794
6057,9842,Jarrahwood,-33.7964,115.6658
6058,10905,Jacup (Jerramungup District),-33.8878,119.1092
6059,9131,Jurien,-30.3081,115.0311
6060,8251,Kalbarri,-27.7119,114.165
6061,12038,Kalgoorlie-boulder,-30.7847,121.4533
6062,1019,Kalumburu,-14.2964,126.6453
6063,9111,Karnet,-32.44,116.0744
6064,4083,Karratha,-20.7097,116.7742
6065,10916,Katanning,-33.6856,117.6064
6066,10073,Kellerberrin,-31.6183,117.7217
6067,2014,Kimberley Research Station,-15.6547,128.7092
6068,2056,Kununurra,-15.7814,128.71
6069,1009,Kuri Bay,-15.4875,124.5222
6070,10911,Lake Grace,-33.1006,118.4647
6071,9114,Lancelin,-31.0164,115.33
6072,12305,Laverton,-28.6133,122.4236
6073,5007,Learmonth,-22.2406,114.0967
6074,12314,Leinster,-27.8386,120.7031
